"JURISDICTION","AGE_GROUP","Mean(Sum(FINES))","Mean(Sum(ARRESTS))","Mean(Sum(CHARGES))"
"NSW","0-16",34,0,20
"SA","0-16",4,1,3
"VIC","0-16",0,0,0
"WA","0-16",0,0,7
"ACT","17-25",0,8,57
"NSW","17-25",3860,0,4100
"SA","17-25",442,12,139
"VIC","17-25",0,0,0
"WA","17-25",0,1,694
"ACT","26-39",0,19,101
"NSW","26-39",5752,0,10462
"SA","26-39",1169,56,725
"VIC","26-39",0,0,0
"WA","26-39",0,3,2805
"ACT","40-64",0,9,68
"NSW","40-64",4788,0,9422
"SA","40-64",1443,50,976
"VIC","40-64",0,0,0
"WA","40-64",0,5,3165
"ACT","65 and over",0,0,1
"NSW","65 and over",166,0,170
"SA","65 and over",43,1,36
"VIC","65 and over",0,0,0
"WA","65 and over",0,0,38
