"YEAR","JURISDICTION","Total_Positive_Count"
2008,"ACT",1887
2008,"NSW",27910
2008,"NT",9460
2008,"QLD",27191
2008,"SA",11067
2008,"TAS",4774
2008,"VIC",19628
2008,"WA",14938
2009,"ACT",1628
2009,"NSW",27208
2009,"NT",10990
2009,"QLD",32950
2009,"SA",12133
2009,"TAS",5120
2009,"VIC",18569
2009,"WA",13328
2010,"ACT",1447
2010,"NSW",25146
2010,"NT",10842
2010,"QLD",34078
2010,"SA",11871
2010,"TAS",3895
2010,"VIC",17038
2010,"WA",12013
2011,"ACT",1488
2011,"NSW",22783
2011,"NT",8914
2011,"QLD",28089
2011,"SA",12354
2011,"TAS",4100
2011,"VIC",14685
2011,"WA",11104
2012,"ACT",1455
2012,"NSW",20687
2012,"NT",9332
2012,"QLD",26257
2012,"SA",12504
2012,"TAS",3439
2012,"VIC",15213
2012,"WA",10360
2013,"ACT",1515
2013,"NSW",21091
2013,"NT",12395
2013,"QLD",26591
2013,"SA",12627
2013,"TAS",3421
2013,"VIC",13982
2013,"WA",9175
2014,"ACT",1659
2014,"NSW",21627
2014,"NT",13562
2014,"QLD",25231
2014,"SA",12835
2014,"TAS",4554
2014,"VIC",15811
2014,"WA",12138
2015,"ACT",1392
2015,"NSW",27873
2015,"NT",14192
2015,"QLD",27803
2015,"SA",13447
2015,"TAS",4645
2015,"VIC",17138
2015,"WA",12887
2016,"ACT",1449
2016,"NSW",25662
2016,"NT",7571
2016,"QLD",29336
2016,"SA",9465
2016,"TAS",4476
2016,"VIC",19402
2016,"WA",12563
2017,"ACT",1561
2017,"NSW",27295
2017,"NT",7846
2017,"QLD",28186
2017,"SA",10344
2017,"TAS",4222
2017,"VIC",18221
2017,"WA",12373
2018,"ACT",1991
2018,"NSW",27056
2018,"NT",7672
2018,"QLD",30793
2018,"SA",10138
2018,"TAS",4131
2018,"VIC",18573
2018,"WA",12364
2019,"ACT",1785
2019,"NSW",26530
2019,"NT",7775
2019,"QLD",30051
2019,"SA",9970
2019,"TAS",4292
2019,"VIC",20928
2019,"WA",12053
2020,"ACT",1722
2020,"NSW",26192
2020,"NT",7362
2020,"QLD",24931
2020,"SA",10128
2020,"TAS",3273
2020,"VIC",15232
2020,"WA",12429
2021,"ACT",1228
2021,"NSW",29977
2021,"NT",5765
2021,"QLD",26249
2021,"SA",8288
2021,"TAS",2618
2021,"VIC",16080
2021,"WA",12743
2022,"ACT",1237
2022,"NSW",25321
2022,"NT",5301
2022,"QLD",29071
2022,"SA",10163
2022,"TAS",2209
2022,"VIC",18908
2022,"WA",13593
2023,"ACT",945
2023,"NSW",54522
2023,"NT",7722
2023,"QLD",27712
2023,"SA",9662
2023,"TAS",2223
2023,"VIC",17070
2023,"WA",25993
2024,"ACT",871
2024,"NSW",51769
2024,"NT",8717
2024,"QLD",27399
2024,"SA",9767
2024,"TAS",2787
2024,"VIC",10783
2024,"WA",31982
